====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:56:47 CET 2026
 Modo:         SEQUENTIAL
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
====================================================================

[19:56:48.076] [IBE-001     ] IBE-001: LANDING_REQUEST
[19:56:48.136] [TORRE       ] Secuencial: Procesando LANDING de IBE-001
[19:56:48.172] [IBE-002     ] IBE-002: LANDING_REQUEST
[19:56:48.225] [TORRE       ] Secuencial: Procesando LANDING de IBE-002
[19:56:48.275] [IBE-003     ] IBE-003: LANDING_REQUEST
[19:56:48.290] [TORRE       ] Secuencial: Procesando LANDED de IBE-001
[19:56:48.342] [TORRE       ] Secuencial: Procesando LANDING de IBE-003
[19:56:48.379] [IBE-004     ] IBE-004: LANDING_REQUEST
[19:56:48.393] [TORRE       ] Secuencial: Procesando BOARDING de IBE-001
[19:56:48.393] [IBE-001     ] IBE-001: Subiendo Pasajero PAX-IBE-001
[19:56:48.444] [TORRE       ] Secuencial: Procesando LANDED de IBE-002
[19:56:48.478] [IBE-005     ] IBE-005: LANDING_REQUEST
[19:56:48.496] [TORRE       ] Secuencial: Procesando LANDING de IBE-004
[19:56:48.548] [TORRE       ] Secuencial: Procesando LANDED de IBE-003
[19:56:48.584] [IBE-006     ] IBE-006: LANDING_REQUEST
[19:56:48.600] [TORRE       ] Secuencial: Procesando BOARDING de IBE-002
[19:56:48.600] [IBE-002     ] IBE-002: Subiendo Pasajero PAX-IBE-002
[19:56:48.650] [TORRE       ] Secuencial: Procesando LANDING de IBE-005
[19:56:48.679] [IBE-007     ] IBE-007: LANDING_REQUEST
[19:56:48.703] [TORRE       ] Secuencial: Procesando BOARDING de IBE-003
[19:56:48.705] [IBE-003     ] IBE-003: Subiendo Pasajero PAX-IBE-003
[19:56:48.755] [TORRE       ] Secuencial: Procesando LANDING de IBE-006
[19:56:48.784] [IBE-008     ] IBE-008: LANDING_REQUEST
[19:56:48.807] [TORRE       ] Secuencial: Procesando LANDED de IBE-004
[19:56:48.858] [TORRE       ] Secuencial: Procesando LANDING de IBE-007
[19:56:48.910] [TORRE       ] Secuencial: Procesando BOARDED de IBE-001
[19:56:49.015] [IBE-009     ] IBE-009: LANDING_REQUEST
[19:56:49.016] [TORRE       ] Secuencial: Procesando LANDED de IBE-005
[19:56:49.070] [TORRE       ] Secuencial: Procesando LANDING de IBE-008
[19:56:49.101] [IBE-010     ] IBE-010: LANDING_REQUEST
[19:56:49.120] [TORRE       ] Secuencial: Procesando BOARDING de IBE-004
