====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:17:48 CET 2026
 Modo:         SEQUENTIAL
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
====================================================================

[19:17:52.353] [TORRE       ] Secuencial: Procesando LANDING de IBE-019
[19:17:52.404] [TORRE       ] Secuencial: Procesando LANDED de IBE-013
[19:17:52.455] [TORRE       ] Secuencial: Procesando BOARDING de IBE-009
[19:17:52.455] [IBE-009     ] IBE-009: Subiendo Pasajero PAX-IBE-009
[19:17:52.505] [TORRE       ] Secuencial: Procesando LANDING de IBE-020
[19:17:52.557] [TORRE       ] Secuencial: Procesando LANDED de IBE-014
[19:17:52.607] [TORRE       ] Secuencial: Procesando BOARDING de IBE-010
[19:17:52.607] [IBE-010     ] IBE-010: Subiendo Pasajero PAX-IBE-010
[19:17:52.658] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-003
[19:17:52.658] [TORRE       ] IBE-003 FIN DE OPERACIÓN.
[19:17:52.709] [TORRE       ] Secuencial: Procesando LANDED de IBE-015
[19:17:52.759] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-005
[19:17:52.810] [TORRE       ] Secuencial: Procesando LANDED de IBE-016
[19:17:52.861] [TORRE       ] Secuencial: Procesando BOARDING de IBE-011
[19:17:52.861] [IBE-011     ] IBE-011: Subiendo Pasajero PAX-IBE-011
[19:17:52.912] [TORRE       ] Secuencial: Procesando BOARDED de IBE-007
[19:17:52.963] [TORRE       ] Secuencial: Procesando BOARDING de IBE-012
[19:17:52.963] [IBE-012     ] IBE-012: Subiendo Pasajero PAX-IBE-012
[19:17:53.014] [TORRE       ] Secuencial: Procesando LANDED de IBE-017
[19:17:53.064] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-006
[19:17:53.115] [TORRE       ] Secuencial: Procesando LANDED de IBE-018
[19:17:53.166] [TORRE       ] Secuencial: Procesando BOARDED de IBE-008
[19:17:53.217] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-004
[19:17:53.217] [TORRE       ] IBE-004 FIN DE OPERACIÓN.
[19:17:53.267] [TORRE       ] Secuencial: Procesando BOARDING de IBE-013
[19:17:53.267] [IBE-013     ] IBE-013: Subiendo Pasajero PAX-IBE-013
[19:17:53.318] [TORRE       ] Secuencial: Procesando LANDED de IBE-019
[19:17:53.369] [TORRE       ] Secuencial: Procesando BOARDING de IBE-014
[19:17:53.369] [IBE-014     ] IBE-014: Subiendo Pasajero PAX-IBE-014
[19:17:53.420] [TORRE       ] Secuencial: Procesando LANDED de IBE-020
[19:17:53.470] [TORRE       ] Secuencial: Procesando BOARDING de IBE-015
[19:17:53.470] [IBE-015     ] IBE-015: Subiendo Pasajero PAX-IBE-015
[19:17:53.521] [TORRE       ] Secuencial: Procesando BOARDED de IBE-009
[19:17:53.572] [TORRE       ] Secuencial: Procesando BOARDING de IBE-016
[19:17:53.572] [IBE-016     ] IBE-016: Subiendo Pasajero PAX-IBE-016
[19:17:53.623] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-005
[19:17:53.623] [TORRE       ] IBE-005 FIN DE OPERACIÓN.
[19:17:53.674] [TORRE       ] Secuencial: Procesando BOARDED de IBE-010
[19:17:53.725] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-007
[19:17:53.775] [TORRE       ] Secuencial: Procesando BOARDING de IBE-017
[19:17:53.775] [IBE-017     ] IBE-017: Subiendo Pasajero PAX-IBE-017
[19:17:53.826] [TORRE       ] Secuencial: Procesando BOARDING de IBE-018
[19:17:53.826] [IBE-018     ] IBE-018: Subiendo Pasajero PAX-IBE-018
[19:17:53.877] [TORRE       ] Secuencial: Procesando BOARDED de IBE-011
[19:17:53.929] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-006
[19:17:53.929] [TORRE       ] IBE-006 FIN DE OPERACIÓN.
[19:17:53.980] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-008
[19:17:54.030] [TORRE       ] Secuencial: Procesando BOARDED de IBE-012
[19:17:54.081] [TORRE       ] Secuencial: Procesando BOARDING de IBE-019
[19:17:54.081] [IBE-019     ] IBE-019: Subiendo Pasajero PAX-IBE-019
[19:17:54.132] [TORRE       ] Secuencial: Procesando BOARDING de IBE-020
[19:17:54.132] [IBE-020     ] IBE-020: Subiendo Pasajero PAX-IBE-020
[19:17:54.183] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-009
[19:17:54.234] [TORRE       ] Secuencial: Procesando BOARDED de IBE-013
[19:17:54.284] [TORRE       ] Secuencial: Procesando BOARDED de IBE-014
[19:17:54.335] [TORRE       ] Secuencial: Procesando TAKEOFF de IBE-010
[19:17:54.386] [TORRE       ] Secuencial: Procesando BOARDED de IBE-015
[19:17:54.436] [TORRE       ] Secuencial: Procesando DEPARTED de IBE-007
[19:17:54.436] [TORRE       ] IBE-007 FIN DE OPERACIÓN.
[19:17:54.488] [TORRE       ] Secuencial: Procesando BOARDED de IBE-016
