====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:18:45 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:18:47.150] [IBE-007     ] IBE-007: Aterrizando en Pista P2...
[19:18:47.222] [IBE-001     ] IBE-001: DEPARTED. Vuelo finalizado.
[19:18:47.222] [TORRE       ] Recibida petición: DEPARTED [IBE-001]
[19:18:47.222] [IBE-012     ] IBE-012: Solicitando pista y puerta...
[19:18:47.222] [TORRE       ] Recibida petición: LANDING [IBE-012]
[19:18:47.252] [IBE-007     ] IBE-007: Aterrizado. Liberando pista y yendo a Puerta G2
[19:18:47.252] [TORRE       ] Recibida petición: LANDED [IBE-007]
[19:18:47.326] [IBE-013     ] IBE-013: Solicitando pista y puerta...
[19:18:47.326] [TORRE       ] Recibida petición: LANDING [IBE-013]
[19:18:47.418] [TORRE       ] ESPERA ATERRIZAJE: IBE-009
[19:18:47.422] [TORRE       ] Pista liberada por IBE-006
[19:18:47.422] [IBE-006     ] IBE-006: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-006
[19:18:47.422] [TORRE       ] Recibida petición: BOARDING [IBE-006]
[19:18:47.429] [IBE-014     ] IBE-014: Solicitando pista y puerta...
[19:18:47.430] [TORRE       ] Recibida petición: LANDING [IBE-014]
[19:18:47.447] [TORRE       ] ESPERA ATERRIZAJE: IBE-010
[19:18:47.506] [TORRE       ] Puerta liberada por IBE-003
[19:18:47.506] [TORRE       ] RESUMING ATERRIZAJE: IBE-008
[19:18:47.507] [IBE-004     ] IBE-004: Embarque finalizado. Solicitando salida.
[19:18:47.507] [TORRE       ] Recibida petición: BOARDED [IBE-004]
[19:18:47.508] [IBE-003     ] IBE-003: Solicitando pista para despegue...
[19:18:47.508] [TORRE       ] Recibida petición: TAKEOFF [IBE-003]
[19:18:47.509] [IBE-008     ] IBE-008: Aterrizando en Pista P3...
[19:18:47.530] [IBE-015     ] IBE-015: Solicitando pista y puerta...
[19:18:47.610] [IBE-008     ] IBE-008: Aterrizado. Liberando pista y yendo a Puerta G3
[19:18:47.617] [IBE-005     ] IBE-005: Embarque finalizado. Solicitando salida.
[19:18:47.617] [TORRE       ] Recibida petición: BOARDED [IBE-005]
[19:18:47.618] [TORRE       ] ESPERA ATERRIZAJE: IBE-011
[19:18:47.631] [IBE-016     ] IBE-016: Solicitando pista y puerta...
[19:18:47.718] [TORRE       ] ESPERA DESPEGUE: IBE-002
[19:18:47.723] [TORRE       ] IBE-001 DEPARTED.
[19:18:47.723] [TORRE       ] RESUMING DESPEGUE: IBE-002
[19:18:47.724] [IBE-002     ] IBE-002: Despegando por Pista P1...
[19:18:47.732] [TORRE       ] Recibida petición: LANDING [IBE-015]
[19:18:47.733] [IBE-017     ] IBE-017: Solicitando pista y puerta...
[19:18:47.733] [TORRE       ] Recibida petición: LANDING [IBE-017]
[19:18:47.749] [TORRE       ] ESPERA ATERRIZAJE: IBE-012
[19:18:47.808] [TORRE       ] Pista liberada por IBE-007
