====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:59:01 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    5
====================================================================

[19:59:01.925] [IBE-001     ] IBE-001: Solicitando pista y puerta...
[19:59:01.938] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-001
[19:59:01.939] [TORRE       ] Recibida petición: LANDING [IBE-001]
[19:59:01.942] [IBE-001     ] IBE-001: Aterrizando en Pista P1...
[19:59:02.022] [IBE-002     ] IBE-002: Solicitando pista y puerta...
[19:59:02.022] [TORRE       ] Recibida petición: LANDING [IBE-002]
[19:59:02.022] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-002
[19:59:02.023] [IBE-002     ] IBE-002: Aterrizando en Pista P2...
[19:59:02.045] [IBE-001     ] IBE-001: Aterrizado. Liberando pista y yendo a Puerta G1
[19:59:02.045] [TORRE       ] Recibida petición: LANDED [IBE-001]
[19:59:02.045] [TORRE       ] Pista liberada por IBE-001
[19:59:02.046] [IBE-001     ] IBE-001: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-001
[19:59:02.047] [TORRE       ] Recibida petición: BOARDING [IBE-001]
[19:59:02.123] [IBE-003     ] IBE-003: Solicitando pista y puerta...
[19:59:02.124] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-003
[19:59:02.124] [TORRE       ] Recibida petición: LANDING [IBE-003]
[19:59:02.126] [IBE-003     ] IBE-003: Aterrizando en Pista P1...
[19:59:02.127] [IBE-002     ] IBE-002: Aterrizado. Liberando pista y yendo a Puerta G2
[19:59:02.127] [TORRE       ] Recibida petición: LANDED [IBE-002]
[19:59:02.225] [IBE-004     ] IBE-004: Solicitando pista y puerta...
[19:59:02.225] [TORRE       ] Recibida petición: LANDING [IBE-004]
[19:59:02.228] [IBE-003     ] IBE-003: Aterrizado. Liberando pista y yendo a Puerta G3
[19:59:02.228] [TORRE       ] Recibida petición: LANDED [IBE-003]
[19:59:02.239] [TORRE       ] Pista liberada por IBE-002
[19:59:02.241] [IBE-002     ] IBE-002: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-002
[19:59:02.245] [TORRE       ] Recibida petición: BOARDING [IBE-002]
[19:59:02.324] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-004
[19:59:02.325] [IBE-004     ] IBE-004: Aterrizando en Pista P2...
[19:59:02.326] [IBE-005     ] IBE-005: Solicitando pista y puerta...
[19:59:02.327] [TORRE       ] Recibida petición: LANDING [IBE-005]
[19:59:02.347] [TORRE       ] Pista liberada por IBE-003
[19:59:02.349] [IBE-003     ] IBE-003: En puerta Puerta G3. Subiendo Pasajero PAX-IBE-003
[19:59:02.349] [TORRE       ] Recibida petición: BOARDING [IBE-003]
[19:59:02.351] [IBE-001     ] IBE-001: Embarque finalizado. Solicitando salida.
[19:59:02.352] [TORRE       ] Recibida petición: BOARDED [IBE-001]
[19:59:02.425] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-005
[19:59:02.426] [IBE-005     ] IBE-005: Aterrizando en Pista P1...
[19:59:02.427] [IBE-004     ] IBE-004: Aterrizado. Liberando pista y yendo a Puerta G4
[19:59:02.427] [TORRE       ] Recibida petición: LANDED [IBE-004]
[19:59:02.431] [IBE-006     ] IBE-006: Solicitando pista y puerta...
[19:59:02.431] [TORRE       ] Recibida petición: LANDING [IBE-006]
