====================================================================
   AERON AIRPORT SIMULATOR - BITÁCORA DE VUELO
====================================================================
 Fecha inicio: Sun Jan 18 19:58:06 CET 2026
 Modo:         CONCURRENT
 Configuración: 20 Aviones | 3 Pistas | 5 Puertas
 Operarios:    1
====================================================================

[19:58:07.032] [IBE-001     ] IBE-001: Solicitando pista y puerta...
[19:58:07.038] [TORRE       ] Recibida petición: LANDING [IBE-001]
[19:58:07.040] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-001
[19:58:07.041] [IBE-001     ] IBE-001: Aterrizando en Pista P1...
[19:58:07.130] [IBE-002     ] IBE-002: Solicitando pista y puerta...
[19:58:07.131] [TORRE       ] Recibida petición: LANDING [IBE-002]
[19:58:07.145] [IBE-001     ] IBE-001: Aterrizado. Liberando pista y yendo a Puerta G1
[19:58:07.145] [TORRE       ] Recibida petición: LANDED [IBE-001]
[19:58:07.230] [IBE-003     ] IBE-003: Solicitando pista y puerta...
[19:58:07.230] [TORRE       ] Recibida petición: LANDING [IBE-003]
[19:58:07.333] [IBE-004     ] IBE-004: Solicitando pista y puerta...
[19:58:07.334] [TORRE       ] Recibida petición: LANDING [IBE-004]
[19:58:07.342] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-002
[19:58:07.343] [IBE-002     ] IBE-002: Aterrizando en Pista P2...
[19:58:07.443] [IBE-005     ] IBE-005: Solicitando pista y puerta...
[19:58:07.443] [TORRE       ] Recibida petición: LANDING [IBE-005]
[19:58:07.446] [IBE-002     ] IBE-002: Aterrizado. Liberando pista y yendo a Puerta G2
[19:58:07.446] [TORRE       ] Recibida petición: LANDED [IBE-002]
[19:58:07.533] [IBE-006     ] IBE-006: Solicitando pista y puerta...
[19:58:07.533] [TORRE       ] Recibida petición: LANDING [IBE-006]
[19:58:07.635] [IBE-007     ] IBE-007: Solicitando pista y puerta...
[19:58:07.635] [TORRE       ] Recibida petición: LANDING [IBE-007]
[19:58:07.643] [TORRE       ] Pista liberada por IBE-001
[19:58:07.644] [IBE-001     ] IBE-001: En puerta Puerta G1. Subiendo Pasajero PAX-IBE-001
[19:58:07.645] [TORRE       ] Recibida petición: BOARDING [IBE-001]
[19:58:07.738] [IBE-008     ] IBE-008: Solicitando pista y puerta...
[19:58:07.739] [TORRE       ] Recibida petición: LANDING [IBE-008]
[19:58:07.843] [IBE-009     ] IBE-009: Solicitando pista y puerta...
[19:58:07.843] [TORRE       ] Recibida petición: LANDING [IBE-009]
[19:58:07.943] [IBE-010     ] IBE-010: Solicitando pista y puerta...
[19:58:07.943] [TORRE       ] Recibida petición: LANDING [IBE-010]
[19:58:07.943] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-003
[19:58:07.945] [IBE-003     ] IBE-003: Aterrizando en Pista P1...
[19:58:08.047] [IBE-003     ] IBE-003: Aterrizado. Liberando pista y yendo a Puerta G3
[19:58:08.048] [TORRE       ] Recibida petición: LANDED [IBE-003]
[19:58:08.050] [IBE-011     ] IBE-011: Solicitando pista y puerta...
[19:58:08.156] [IBE-012     ] IBE-012: Solicitando pista y puerta...
[19:58:08.246] [TORRE       ] AUTORIZADO ATERRIZAJE: IBE-004
[19:58:08.251] [IBE-004     ] IBE-004: Aterrizando en Pista P3...
[19:58:08.254] [TORRE       ] Recibida petición: LANDING [IBE-011]
[19:58:08.283] [IBE-013     ] IBE-013: Solicitando pista y puerta...
[19:58:08.352] [IBE-004     ] IBE-004: Aterrizado. Liberando pista y yendo a Puerta G4
[19:58:08.371] [IBE-014     ] IBE-014: Solicitando pista y puerta...
[19:58:08.460] [IBE-015     ] IBE-015: Solicitando pista y puerta...
[19:58:08.549] [TORRE       ] ESPERA ATERRIZAJE: IBE-005
[19:58:08.564] [IBE-016     ] IBE-016: Solicitando pista y puerta...
[19:58:08.564] [TORRE       ] Recibida petición: LANDING [IBE-016]
[19:58:08.665] [IBE-017     ] IBE-017: Solicitando pista y puerta...
[19:58:08.765] [IBE-018     ] IBE-018: Solicitando pista y puerta...
[19:58:08.850] [TORRE       ] Pista liberada por IBE-002
[19:58:08.850] [TORRE       ] RESUMING ATERRIZAJE: IBE-005
[19:58:08.851] [IBE-002     ] IBE-002: En puerta Puerta G2. Subiendo Pasajero PAX-IBE-002
[19:58:08.851] [TORRE       ] Recibida petición: BOARDING [IBE-002]
