Avión,Tiempo total (ms),Observaciones
IBE-001,1114,1º
IBE-002,1868,2º
IBE-003,2464,3º
IBE-004,2959,4º
IBE-005,3155,5º
IBE-006,3356,6º
IBE-007,3447,7º
IBE-008,3654,8º
IBE-009,3853,9º
IBE-010,4051,10º
IBE-011,4249,11º
IBE-012,4439,12º
IBE-013,4650,13º
IBE-014,4611,14º
IBE-016,4623,15º
IBE-017,4608,16º
IBE-018,4750,17º
IBE-020,4845,18º
IBE-019,5237,19º
IBE-015,5645,20º
