Avión,Tiempo total (ms),Observaciones
IBE-001,0,1º
IBE-002,0,2º
IBE-003,0,3º
IBE-004,0,4º
IBE-005,0,5º
IBE-006,0,6º
IBE-007,0,7º
IBE-008,0,8º
IBE-009,0,9º
IBE-010,0,10º
IBE-011,0,11º
IBE-012,0,12º
IBE-013,0,13º
IBE-014,0,14º
IBE-015,0,15º
IBE-016,0,16º
IBE-017,0,17º
IBE-018,0,18º
IBE-019,0,19º
IBE-020,0,20º
