Avión,Tiempo total (ms),Observaciones
IBE-001,9176,1º
IBE-002,10884,2º
IBE-003,12287,3º
IBE-005,13586,4º
IBE-004,16101,5º
IBE-006,17709,6º
IBE-007,19111,7º
IBE-008,20512,8º
IBE-009,22813,9º
IBE-010,24522,10º
IBE-011,25917,11º
IBE-016,26908,12º
IBE-015,27917,13º
IBE-020,28311,14º
IBE-014,29509,15º
IBE-019,29912,16º
IBE-013,31415,17º
IBE-017,31927,18º
IBE-012,33644,19º
IBE-018,33638,20º
